titre,entreprise,ville,contrat,date,lien,source
Stage en comptabilité,Multinationale,Dakar,N/A,Il y a 9 heures,https://www.optioncarriere.sn/jobad/snc36647d106bf3c6f83488472b5c458ff,optioncarriere.sn
Chargé de Données,IMPACT,Dakar,N/A,Il y a 9 heures,https://www.optioncarriere.sn/jobad/sn166e8b03852da0aab51e08a19f561b65,optioncarriere.sn
Consultant·e pour la conception du Tostan Junior Program,Tostan,Dakar,N/A,Il y a 10 heures,https://www.optioncarriere.sn/jobad/sn18ac483f48e4b00e591c71c4bbc232e1,optioncarriere.sn
Commerciale Terrain,JAAY LEER,Dakar,N/A,Il y a 11 heures,https://www.optioncarriere.sn/jobad/sn21684e2f941ac23feb45803d71ccf916,optioncarriere.sn
Auditeur Confirmé,Grant Thornton Senegal,Dakar,N/A,Il y a 12 heures,https://www.optioncarriere.sn/jobad/sne22dca6520f1589d508c4880c91981ff,optioncarriere.sn
Responsable des Opérations,IMPACT,Dakar,N/A,Il y a 12 heures,https://www.optioncarriere.sn/jobad/sn3e507fa655717bbba0c08a3f9e652d90,optioncarriere.sn
Coordinateur de Projet,Goethe-Institut,Dakar,N/A,Il y a 14 heures,https://www.optioncarriere.sn/jobad/sn0e8e3e2bfbecf218c1e4d23030710aa5,optioncarriere.sn
Spécialiste en Communication,REPSFECO,Dakar,N/A,Il y a 14 heures,https://www.optioncarriere.sn/jobad/snd02bef7194c5c1d48622a3514dac2500,optioncarriere.sn
Responsable des Operations,GPF,Dakar,N/A,Il y a 14 heures,https://www.optioncarriere.sn/jobad/sn8c94c9de9069106fd7725d877a667f57,optioncarriere.sn
Graphique Designer Senior,GPF,Dakar,N/A,Il y a 14 heures,https://www.optioncarriere.sn/jobad/sn92eca7c3d6a798fcc6ba65f16f381ba2,optioncarriere.sn
Planificateur(trice)d’infrastructures de sites d’événements,N/A,Dakar,N/A,Il y a 14 heures,https://www.optioncarriere.sn/jobad/snb43f7b771a512503ecb97b9f1879432d,optioncarriere.sn
Traducteurs professionnels,MGtrad,Sénégal,N/A,Il y a 14 heures,https://www.optioncarriere.sn/jobad/sn304df84a08c030fd16cfd0ba9f32507d,optioncarriere.sn
10 Business Developers,Groupe Taliso,Dakar,N/A,Il y a 1 jour,https://www.optioncarriere.sn/jobad/sne1a54d7652326d681c0175f7aeb68a09,optioncarriere.sn
Chauffeur privé / familial,Top Management 24,Thiès,N/A,Il y a 1 jour,https://www.optioncarriere.sn/jobad/snfcbbb918a38b6a538329e01e830e45d0,optioncarriere.sn
Chauffeurs Taxi Particuliers,Urban Cars,Dakar,N/A,Il y a 1 jour,https://www.optioncarriere.sn/jobad/snd322782e26a4d104d8b72b0473cbbaef,optioncarriere.sn
Nounou et Chef Cuisinière Expérimentées,Guest House,"Rufisque, Dakar",N/A,Il y a 1 jour,https://www.optioncarriere.sn/jobad/sn52aa2161132898a6b1acd39a7c73aebf,optioncarriere.sn
Femme de Ménage Qualifiée,Serenite Pro Service,Dakar,N/A,Il y a 1 jour,https://www.optioncarriere.sn/jobad/sn0137d75887caa6567d529a9708f90131,optioncarriere.sn
Consultant Support FAI avec expertise N1,ALTEN,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn19b227b4879fb54084954789457ab927,optioncarriere.sn
Animateur en langue et culture - Senegal,CorpsAfrica,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn5183be7e57cdcd9e83735bf03b99000c,optioncarriere.sn
Responsable Commercial.e & Partenariats (Part-time) – UBB,UBB - Ubuntu Business Builders,Sénégal,N/A,Il y a 1 jour,https://www.optioncarriere.sn/jobad/sn686828d7886d76e4ec0952948c7923bb,optioncarriere.sn
"Stage En ligne sur la fonction Évaluation : planification, revue et utilisation des évaluations, 6 mois, WCARO, Dakar, Sénégal",Unicef,Sénégal,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn07013569078e1884e7efae287ef20fbc,optioncarriere.sn
"Livreur - Dakar (Jet d'eau), Sénégal",Lapaire Group,Dakar,N/A,Il y a 11 jours,https://www.optioncarriere.sn/jobad/sn1b15457ca4aa27f71535a42e6263d74a,optioncarriere.sn
Superviseur des cultures et des contrats d'achat H/F,Groupe CF-ID,Saint-Louis,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/snd63092dbb8788d6002040b5d648a5865,optioncarriere.sn
Consultant Support FAI,ALTEN,Dakar,N/A,Il y a 12 jours,https://www.optioncarriere.sn/jobad/sn06746c09acfcd1452903e5362738e60a,optioncarriere.sn
Pâtissier F/H,Paul SAINT-LOUIS (Titan),Saint-Louis,N/A,Il y a 14 jours,https://www.optioncarriere.sn/jobad/sne6998c05e23a61ca9973f7460d5dee9a,optioncarriere.sn
MEL INTERN / STAGIAIRE SUIVI EVALUATION - WEECAP SENEGAL,Winrock International,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn17cbe9a59825d10a73da0cf51af95c3f,optioncarriere.sn
Pizzaïolo F/H,Volfoni SAINT-LOUIS (Ouranos),Saint-Louis,N/A,Il y a 15 jours,https://www.optioncarriere.sn/jobad/sn04d4777e094833354a6f375aba0d2fe2,optioncarriere.sn
Directeur adjoint de restaurant F/H,Au Bureau SAINT-LOUIS,Saint-Louis,N/A,Il y a 15 jours,https://www.optioncarriere.sn/jobad/snbf6d751a41bab14b09be6471f5c25298,optioncarriere.sn
Agent de restauration polyvalent plonge/ménage F/H,Volfoni SAINT-LOUIS (Ouranos),Saint-Louis,N/A,Il y a 15 jours,https://www.optioncarriere.sn/jobad/sn578bb521d5b2f8be150bd7291d3f3f20,optioncarriere.sn
Chef de partie F/H,Volfoni SAINT-LOUIS (Ouranos),Saint-Louis,N/A,Il y a 15 jours,https://www.optioncarriere.sn/jobad/sn4a3ebf87c438edb122b73f64e92b7219,optioncarriere.sn
CHEF DE SECTEUR,TotalEnergies,Sénégal,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/snbd834af3f4a01f92cb3d8bf01a9d956e,optioncarriere.sn
Junior Chief of Staff du Head of School,Enko Education,"Ngaparou, Thiès",N/A,Il y a 21 jours,https://www.optioncarriere.sn/jobad/sn53181bd8691ffffbddc3ee67b5f06756,optioncarriere.sn
Gérante Cuisinière,Fast food a Thies,Thiès,N/A,Il y a 3 jours,https://www.optioncarriere.sn/jobad/sn93d93c8da9c60351becf5c398add8554,optioncarriere.sn
Employé polyvalent en salle F/H,Sushi's SAINT-LOUIS,Saint-Louis,N/A,Il y a 22 jours,https://www.optioncarriere.sn/jobad/sn97f6f1e6b674bac64fe1e2d7274a92de,optioncarriere.sn
"Expert BTP, Spécialisé en Génie Maritime/Côtier",N/A,Dakar,N/A,Il y a 3 jours,https://www.optioncarriere.sn/jobad/sn7e3d301934800c1c4de9c31d4ee3431d,optioncarriere.sn
"Responsable de Zone - Dakar, Sénégal",Lapaire Group,Dakar,N/A,Il y a 25 jours,https://www.optioncarriere.sn/jobad/sne468530273c729d03a016a8490a11252,optioncarriere.sn
Crédit Manager H/F,CFAO,Sénégal,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn8f308aa78d209da266cbadc3fbcc6b88,optioncarriere.sn
Mise en page et design d'un guide pour les organismes réglementaires (86p),United Nations,Sénégal,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn7669f695504409cf6ace60b70e5c17f1,optioncarriere.sn
Plongeur F/H,Volfoni,Saint-Louis,N/A,Il y a 29 jours,https://www.optioncarriere.sn/jobad/snaf8e562bb05dd2830b37d66331119b93,optioncarriere.sn
Assistant Boutique Polyvalent (H/F),Global Talent HR,Dakar,N/A,Il y a 11 jours,https://www.optioncarriere.sn/jobad/sn261dd7a1b7cf1058baac60ff1a40fa2a,optioncarriere.sn
"Commercial (e) Externe - Ouakam, Sénégal",Lapaire Group,Dakar,N/A,Il y a 1 mois,https://www.optioncarriere.sn/jobad/snf3966c5832b5f4041f5df63d83036d26,optioncarriere.sn
Business Developer freelance — Apporteur d’affaires,Rise Your Business,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sne86f94a2cbb906ff1dfa64aed0b76abf,optioncarriere.sn
Chargé d’études en organisation,BCEAO,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn20bf14bf2d6fe43e5914e1a94fc48789,optioncarriere.sn
Responsable Spa,Club Med,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/snf97ca8aeb121cd90fc32bc6077b37a5c,optioncarriere.sn
Chargé des projets de communication,BCEAO,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn760d11c1113271de7fca4786765b5eef,optioncarriere.sn
Conseiller ou Conseillere de vente – Voyages,Smart Listing Travel,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/snb1558847d228d693c0d001ebc88b4f37,optioncarriere.sn
Stage subventionné pour jeunes diplômés au sein de la Délégation de l’UE au Sénégal,Delegation de l'Union Europeenne au Senegal,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn693524185f87c11b49a9e1a5c8b3dc4e,optioncarriere.sn
Gestionnaire des incidents et des demandes d’assistance,BCEAO,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/snedcfaf396d8781a958a2ec9efafbc8d6,optioncarriere.sn
Gestionnaire d’opérations financières,BCEAO,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn6a876c24b6fb994cfd8f8f656a8b1137,optioncarriere.sn
Professeur du Second Degré – Arts Plastiques-Français,Cours Sainte Marie de Hann,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn3b25fe317c714868b078afe807fa0def,optioncarriere.sn
Chargé de domaine de formation « Secteurs bancaire et financier,BCEAO,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/snd3864c9f0c3825ae6c44abf822923847,optioncarriere.sn
Assistant(e) Administratif(ve) Junior,Fairview Farms Sarl,"Pout, Thiès",N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn67d4c3b466268607a5fc3a3bf32ae53c,optioncarriere.sn
Coordinateur Pédagogique,Cours Sainte Marie de Hann,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sna7b747774c07055b13a7d71a93b689bd,optioncarriere.sn
Assistant(e) Administratif(ve) & Opérationnel(le),RMO Sénégal,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn2d7922e3c2ba0a723812da090c82e3ed,optioncarriere.sn
Conseillers Commerciaux (Free Télécom),Nabadji Group SARL,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn23fd37fdde4a0144abdb05cd733daa03,optioncarriere.sn
Gestionnaire Site Web & Réseaux Sociaux,Autozen,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn938023ed36583918d600896a6265fa48,optioncarriere.sn
Comptable,Ascoma Assureurs Conseils,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn83b70389faa3bbd66c9721feed845556,optioncarriere.sn
Chargé de la réglementation des systèmes et moyens de paiement,BCEAO,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/snc37de1f66abd0a7427210596ae84b6a9,optioncarriere.sn
Chef(fe) de projet – Déploiement de Réseaux Electriques H/F,Sagemcom,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/snfa48f371a97342a80883ccb069180ae9,optioncarriere.sn
Ingénieur Projet,Sagemcom,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sndd3c470d9ed2fb2df8ed64a79f962e3e,optioncarriere.sn
Opérateur de maintenance du patrimoine,BCEAO,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/snc963c6c435edd00f1adfb301544f6659,optioncarriere.sn
BUSINESS ANALYST,Africa Global Logistics,Dakar,N/A,Il y a 12 jours,https://www.optioncarriere.sn/jobad/sned3e7a6ac874396be4afc4a044f47af9,optioncarriere.sn
Expert en Modélisation Numérique Appliquée au Milieu Marin Côtier,N/A,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sncac35960083812c47e6a24f594d0f7b9,optioncarriere.sn
Stagiaire Commerciale,N/A,Dakar,N/A,Il y a 4 jours,https://www.optioncarriere.sn/jobad/sn4ab473aace6934eb0357eaac2b04e71f,optioncarriere.sn
Révision et relecture d'un guide pour les organismes réglementaires (86p),United Nations,Sénégal,N/A,Il y a 12 jours,https://www.optioncarriere.sn/jobad/snf6c6e46ba01c728ce1f8c71250662dbc,optioncarriere.sn
Responsable des Finances et de l’Administration,FICR,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/sn413ad62c860d1f9833caac84ae3d8f4b,optioncarriere.sn
Chef(fe) des Services Administratifs (CSA),Ecole Polytechnique de Thies,Thiès,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/sn97dcf44997d84e9f5aeeebd312256161,optioncarriere.sn
"Stagiaire Suivi, Évaluation et Apprentissage",Winrock International,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/sncf91152b045a2a347ae17bfd5d3e0963,optioncarriere.sn
Technicien Bâtiment H/F,Albayt Constructions,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/sn1e65ecee9be77abb8c8bdd7d3e35ce5e,optioncarriere.sn
Ingénieur Bâtiment,Albayt Constructions,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/sn2329a44f2cfdda49b8b992d86dca7840,optioncarriere.sn
Comptable,RMO Sénégal,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/snd18d0d6d697346a8ce94524527dfe4d9,optioncarriere.sn
Adjoint/ Adjointe à la sécurité,WFP,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/sn1db75644e58836ce31aa8b2a14c66c5d,optioncarriere.sn
Restaurant Manager,Top Work,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/snca93b6de7284633768d9fc859a5c30f4,optioncarriere.sn
Développeur Sénior,Baobab Group,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/sndd9a155c307bc17167419c42e144d713,optioncarriere.sn
Téléconseiller en prise de RDV B2B,Vocalis Africa International,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/sn7d371df205d732d241aeca12c4d064d3,optioncarriere.sn
Techniciennes de Surface,CLEANIC,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/sndfd097f3ec556adca8c607a0006dd9ea,optioncarriere.sn
Responsable Conformité,Julaya,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/snd4bcfae78a3b8783c46026a3e50ea186,optioncarriere.sn
Mentors – Bénévolat,Isoc ESMT,Dakar,N/A,Il y a 5 jours,https://www.optioncarriere.sn/jobad/snc480d45a97c5b66081cf5686f456ffcc,optioncarriere.sn
Sciences teacher,Enko Education,"Ngaparou, Thiès",N/A,Il y a 1 mois,https://www.optioncarriere.sn/jobad/sn7decd2a5cbe4f8f8c5252f918b48d2b7,optioncarriere.sn
Contrôleur de Gestion,Africa Global Logistics,Sénégal,N/A,Il y a 13 jours,https://www.optioncarriere.sn/jobad/sna890611ad75b8317e7ec864dc5a8ed17,optioncarriere.sn
Sales Associate,Enko Education,Dakar,N/A,Il y a 2 mois,https://www.optioncarriere.sn/jobad/sn48ace9aa3741848eb177be88a6cb2558,optioncarriere.sn
Assistant RH,Ascoma Assureurs Conseils,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn4a5c337772b7372c739d324e38fc5b4b,optioncarriere.sn
Acheteur,Top Work,Kédougou,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/snd0d688338a8c1a1eb620bb31a4680c14,optioncarriere.sn
Responsable de Zone,Top Work,"Mbour, Thiès",N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn12b5f06c5f8138b8b02a738d1d30e875,optioncarriere.sn
Chauffeur,Urban Cars,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn58305674d14c5d9d80c3a39eacadef7f,optioncarriere.sn
Community Manager,Groupe Teranga Communication,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn59ec61751e83caa2a1e7c977cc94e262,optioncarriere.sn
Développeur Fullstack Java/Vue js,ALTEN Senegal,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn736f305c6993302f7ccac2b4e0c727b0,optioncarriere.sn
Formation Tech Academy et Recrutement JOJ2026,Jeux Olympiques de la Jeunesse Dakar 2026,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn75d41cb5188581dab1140ec25fe76de5,optioncarriere.sn
Directeur (trice) artistique,Les Barbus SN,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn02b445a6377bfe1928be16fa1cd34186,optioncarriere.sn
Chef de publicité,Les Barbus SN,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/snebb2f82f9c5102e4462bced8d8f3aa0c,optioncarriere.sn
Répartiteur Taxi Parc,Yango,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn9fcba468e131eb28f5c1e562722ce303,optioncarriere.sn
Data Scientist Sénior SQL / Python,ALTEN Senegal,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/snbf697806e3d775d7884b859ea364d819,optioncarriere.sn
Agent de Sécurité,LIS Security,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sndc769eb41821c6e42227bf6fdc13a8e8,optioncarriere.sn
Dévéloppeur FullStack Java React,ALTEN Senegal,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn2fb3b2e53ecb9f071555fe667db99450,optioncarriere.sn
Content Manager,Les Barbus,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sneeac206882ac24903dbc0947dd3c4092,optioncarriere.sn
Développeur FullStack Sénior – Java / Angular,ALTEN Senegal,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sne16012cd258c13bfc318bbedafc721a4,optioncarriere.sn
Chargé de Pilotage & Performance,GPF,Dakar,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn53a04c848bc4e4683f05d2266954c94e,optioncarriere.sn
Conseiller Client (F/H) - Service Client - Dakar - Français,Concentrix,Dakar,N/A,Il y a 21 jours,https://www.optioncarriere.sn/jobad/sn04ea4738bde49b124950b522f02c4a45,optioncarriere.sn
Rayonniste,N/A,Thiès,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn48ebaa3cd4f252633a3d09e72af16e6a,optioncarriere.sn
Laveur,N/A,Thiès,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/snb1b6218b5a39b4f1d6614d26df6929d9,optioncarriere.sn
Chef de piste,N/A,Thiès,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/snb6e5637e45405c208e066732832f2844,optioncarriere.sn
Caissier,N/A,Thiès,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/snc4ccd45527bab60ded857e9dc8f969b0,optioncarriere.sn
Pompiste,N/A,Thiès,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn301ee05fb5098b309f0239881776806c,optioncarriere.sn
Technicien de baie,N/A,Thiès,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn927fafb022abb9bae4c82821ccc9721a,optioncarriere.sn
Gérant de boutique,N/A,Thiès,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn80ab4cb7b9100ac68b31b94b6258a6e3,optioncarriere.sn
Gérant de station,N/A,Thiès,N/A,Il y a 6 jours,https://www.optioncarriere.sn/jobad/sn69ac7cb2640215efb2540e47e54aa64e,optioncarriere.sn
Agent Enquêteur,Elite RH,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn848cca695af2335efdcd0330d18c3f30,optioncarriere.sn
Chauffeur Livreur Tricycle (Moto 3 roues),Kuikdel,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/snb15467e66697963398a14b5ead9fef0c,optioncarriere.sn
Commercial B2B,REGIPUB,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/snaabf638ec2e4f12455bedfee8d6b4bab,optioncarriere.sn
Chef de la sécurité,Dangote Cement Senegal,"Pout, Thiès",N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/snd5854e87223714a1b6a0b7c9a04b1f70,optioncarriere.sn
Business Analyst,Africa Global Logistics,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn80e1acf3b81a01c7b1cee122dab7d15b,optioncarriere.sn
Assistant(e) de Direction,Eco Afrique,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn992496b3a9b257fa89f5fe4c52cf3a4f,optioncarriere.sn
Responsable Pédagogique,Genius Academy,Thiès,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn600d6f6e4a48584f58d92c148db30748,optioncarriere.sn
Consultant Support FAI avec expertise N1,Alten Senegal,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn97ce238ad6e7065d5b0350df87888d6b,optioncarriere.sn
Cuisinière professionnelle,SB Services,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn4d134c0a14f0e549c28a3235269f72cf,optioncarriere.sn
Enseignant Bilingue,Vision Trilingual School,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn667929c5b4d9ca0be75657c079ead066,optioncarriere.sn
Technicien Electromécanicien,Societe industrielle,"Rufisque, Dakar",N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn41eab67670f2675effd90507abbc4c47,optioncarriere.sn
Assistant.e au primaire bilingue,Vision Trilingual School,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/snd54aea7f8eeaa5362ac95113c1fef9a5,optioncarriere.sn
"Assistant(e) administratif(ve), achats et comptabilité",JICA,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/snece7f82ea18ddf74b3ee9c7caa9260e9,optioncarriere.sn
Gestionnaire de comptes d'escale,Africa Global Logistics,Dakar,N/A,Il y a 25 jours,https://www.optioncarriere.sn/jobad/snafbaf6484a87d462c914fdc02b3ff842,optioncarriere.sn
Commerciaux,N/A,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/snd0a0b073cb7298cd119224b9fa9b5eee,optioncarriere.sn
Agent externe restaurant,N/A,Dakar,N/A,Il y a 7 jours,https://www.optioncarriere.sn/jobad/sn702c322bc84713476f0bd0d2ac0af145,optioncarriere.sn
AGENT SHIPPING,Africa Global Logistics,Dakar,N/A,Il y a 28 jours,https://www.optioncarriere.sn/jobad/sn6cd63c38d15ed9d96a636132e4ea62cd,optioncarriere.sn
Assistant de passation de marchés,IUCN,Dakar,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn16c26690f6d49a6717a9fd4e5dc93da5,optioncarriere.sn
Agents de nettoyage,AMINE GROUP,Dakar,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn812eafbd4fa77bfa6e11fc5f9686c194,optioncarriere.sn
Superviseur HSE,GPF,Dakar,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn116ea448e277eec2f64541cac577232f,optioncarriere.sn
Superviseur Génie Civil,GPF,Dakar,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/snf4d2bc2ead65c19cf8a35f64e1612556,optioncarriere.sn
Engineering Manager,Myriad,Dakar,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn5ac69576f86175e5da1f3a7c9a54576f,optioncarriere.sn
Assistant RH,Beta Services,"Dagana, Saint-Louis",N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/snd076579c0286041f3c413d497bd6af8d,optioncarriere.sn
Ingénieur Achat,Top Work,Saint-Louis,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn331e998246e3ceb3a99977271052612b,optioncarriere.sn
Agent Assurance Qualité / Contrôle Qualité,AMD Corporate,Dakar,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn8ed53563926b024a7dbb6176f1f5edda,optioncarriere.sn
Stagiaire Communication & Marketing Digital,Myfavagency,Dakar,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn17bc2d26b5aa1253c4431f1ffb581ae0,optioncarriere.sn
Bilingual HR Operations,Top Work,Saint-Louis,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn2983b932500298ee505a4e0bcedb8c10,optioncarriere.sn
Ingénieur Génie Civil Bilingue,Top Work,Saint-Louis,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sndcec76b9a8a55d65f23483264a962aa2,optioncarriere.sn
Assistante Commerciale résidante à Tambacounda,GK Invest Senegal,Tambacounda,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/sn19e4e621e29f696665e43ea9c8af936f,optioncarriere.sn
Responsable Fiscalité et Conformité,Dangote Cement Senegal,Dakar,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/snda0c62986396f9bc85b67f3486202624,optioncarriere.sn
Commercial ERP / Odoo (H/F),ODSYS Africa,Dakar,N/A,Il y a 8 jours,https://www.optioncarriere.sn/jobad/snd1cbcbd1b42d49339983c9e87b591784,optioncarriere.sn
