titre,entreprise,ville,contrat,date,lien,source,date_expiration
Créateur de contenu / Vlog / Journalisme,Yombal Visibilité,"Dakar, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/yombal-visibilite-dakar-prestation-de-services-creation-de-contenu-vlog-journalisme/,emploidakar,
Stagiaire Analyste Carbone,NEA Sénégal,"Dakar, Sénégal",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/nea-senegal-dakar-stage-analyste-carbone/,emploidakar,
Responsable National Multimédia et Contenus Numériques,Organisation Internationale pour les Migrations,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/organisation-internationale-pour-les-migrations-dakar-senegal-cdd-responsable-national-multimedia-et-contenus-numeriques/,emploidakar,
Stagiaire Archiviste Financier,Save the Children International,"Dakar, Sénégal",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/save-the-children-international-dakar-senegal-stage-stagiaire-archiviste-financier/,emploidakar,
Chargé d’Approvisionnement,DP World,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/dp-world-dakar-senegal-cdi-charge-dapprovisionnement/,emploidakar,
Country Growth Operations Lead,Wave,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/wave-dakar-senegal-cdi-country-growth-operations-lead/,emploidakar,
Ingénieur Traitement de l’Eau – Optimisation Énergétique,SUEZ,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/suez-dakar-senegal-cdi-ingenieur-traitement-de-leau-optimisation-energetique/,emploidakar,
Coordinateur Hub Innovation – Afrique de l’Ouest,FAO,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/fao-dakar-senegal-cdd-coordinateur-hub-innovation-afrique-de-louest/,emploidakar,
Assistant RH,ONU Femmes,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/onu-femmes-dakar-senegal-cdd-assistant-rh/,emploidakar,
Senior Specialist – WISH 2 Clinical Support,MSI,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/msi-dakar-senegal-cdd-senior-specialist-wish-2-clinical-support/,emploidakar,
Animateur en langue et culture – Sénégal,CorpsAfrica,"Dakar, Sénégal",Prestation de Services,2026-04-08,https://www.emploidakar.com/offre-demploi/corpsafrica-dakar-senegal-cdd-animateur-en-langue-et-culture-senegal/,emploidakar,
Stage En ligne sur la fonction Évaluation,UNICEF,"Dakar, Sénégal",Stage,2026-04-08,https://www.emploidakar.com/offre-demploi/unicef-dakar-senegal-stage-stage-en-ligne-sur-la-fonction-evaluation/,emploidakar,
Assistant(e) Administratif(ve) et Comptable Bilingue,GBG,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/gbg-dakar-senegal-cdd-assistante-administratifve-et-comptable-bilingue/,emploidakar,
Consultant (e) en analyse des politiques éducatives,UNESCO,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/unesco-dakar-senegal-cdd-consultant-e-en-analyse-des-politiques-educatives/,emploidakar,
Superviseur des cultures et des contrats d’achat (H/F),RportH SAS,"Saint Louis, Senegal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/rporth-sas-saint-louis-senegal-cdi-superviseur-des-cultures-et-des-contrats-dachat-h-f/,emploidakar,
Regional Program Manager,Diakonie Katastrophenhilfe,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/diakonie-katastrophenhilfe-dakar-senegal-cdd-regional-program-manager/,emploidakar,
Manager Ressources Humaines – SAO (H/F),Humanity & Inclusion,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/humanity-inclusion-dakar-senegal-cdd-cdi-manager-ressources-humaines-sao-h-f/,emploidakar,
Crédit Manager,CFAO,"Dakar, Sénégal",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/cfao-dakar-senegal-cdi-credit-manager/,emploidakar,
Superviseur de Caisse,AMD Corporate,"Dakar, Sénégal",CDD,2026-04-08,https://www.emploidakar.com/offre-demploi/amd-corporate-dakar-senegal-cdd-cdi-superviseur-de-caisse/,emploidakar,
Chef de Garage,IKLO Consulting,"Sicap Liberté 1, villa 1201",CDI,2026-04-08,https://www.emploidakar.com/offre-demploi/iklo-consulting-sicap-liberte-1-villa-1201-cdi-chef-de-garage/,emploidakar,
Formations et certifications en ligne Coursera – Partenaire d’Emploi Dakar,Coursera,Sénégal,CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/formations-et-certifications-en-ligne-coursera-partenaire-demploi-dakar/,emploidakar,
Docteur en pharmacie,Pharmacie Gambetta,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/pharmacie-gambetta-114-avenue-lamine-gueye-dakar-senegal-a-cote-centre-commercial-touba-sandaga-cdd-stage-docteur-en-pharmacie/,emploidakar,
Conseiller ou Conseillere de vente – Voyages,Smart Listing Travel,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/smart-listing-travel-dakar-cdi-a-conseiller-ou-conseillere-de-vente-voyages/,emploidakar,
Ingénieur Développement Produits agroalimentaire (Snack Food et Céréales),Topwork,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/topwork-dakar-senegal-cdi-ingenieur-developpement-produits-agroalimentaire-snack-food-et-cereales/,emploidakar,
Stage en comptabilité,Multinationale,"Dakar, Sénégal",Stage,2026-04-07,https://www.emploidakar.com/offre-demploi/multinationale-dakar-stage-stage-en-comptabilite/,emploidakar,
Commerciale Terrain,JAAY LEER,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/jaay-leer-dakar-cdi-commerciale-terrain/,emploidakar,
Stagiaire Déclarant en Douane,CEVA Logistics,"Dakar, Sénégal",Stage,2026-04-07,https://www.emploidakar.com/offre-demploi/ceva-logistics-dakar-senegal-stage-stagiaire-declarant-en-douane/,emploidakar,
Auditeur Confirmé,Grant Thornton Sénégal,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/grant-thornton-senegal-dakar-senegal-cdi-auditeur-confirme/,emploidakar,
02 Auditeurs Seniors,Grant Thornton Sénégal,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/grant-thornton-senegal-dakar-senegal-cdi-02-auditeurs-seniors/,emploidakar,
Consultant·e pour la conception du Tostan Junior Program,Tostan,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/tostan-dakar-senegal-cdd-consultant%c2%b7e-pour-la-conception-du-tostan-junior-program/,emploidakar,
Enquêteurs,Sen Interim,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/sen-interim-dakar-senegal-cdd-prestation-de-services-enqueteurs/,emploidakar,
Ingénieurs Statisticiens,Sen Interim,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/sen-interim-dakar-senegal-cdd-cdi-ingenieurs-statisticiens/,emploidakar,
Chauffeur Bilingue,GBG,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/gbg-dakar-senegal-cdd-chauffeur-bilingue/,emploidakar,
Business Developer – Merchant Payments,Djamo,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/djamo-dakar-senegal-cdi-business-developer-merchant-payments/,emploidakar,
Coordinateur de Projet,Goethe-Institut,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/goethe-institut-dakar-senegal-cdd-cdi-coordinateur-de-projet/,emploidakar,
Agent des Operations Maritimes – Documentation,CEVA Logistics,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/ceva-logistics-dakar-senegal-cdd-cdi-agent-des-operations-maritimes-documentation/,emploidakar,
Planificateur(trice)d’infrastructures de sites d’événements,Comité d'Organisation des Jeux Olympiques de la Jeunesse Dakar 2026,"Dakar, Sénégal",CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/comite-dorganisation-des-jeux-olympiques-de-la-jeunesse-dakar-2026-dakar-senegal-cdd-planificateurtricedinfrastructures-de-sites-devenements/,emploidakar,
Graphique Designer Senior,GPF,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdi-graphique-designer-senior/,emploidakar,
Responsable des Operations,GPF,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdi-responsable-des-operations/,emploidakar,
Chef de Projet Communication,GPF,"Dakar, Sénégal",CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdi-chef-de-projet-communication/,emploidakar,
Spécialiste en Communication,REPSFECO,"Sicap Point E, Dakar",Prestation de Services,2026-04-07,https://www.emploidakar.com/offre-demploi/repsfeco-sicap-point-e-immeuble-d-droite-1-er-etage-porte-droite-prestation-de-services-specialiste-en-communication/,emploidakar,
Chief Of Staff,Nixacom,Senegal (Remote),CDD,2026-04-07,https://www.emploidakar.com/offre-demploi/nixacom-remote-cdd-chief-of-staff/,emploidakar,
Traducteurs professionnels,MGtrad,Sénégal (Télétravail),CDI,2026-04-07,https://www.emploidakar.com/offre-demploi/mgtrad-4ieme-etage-56-av-lalla-yacout-casablanca-20100-cdi-recherche-traducteurs-professionnels/,emploidakar,
Chauffeur privé / familial,Top Management 24,"Thiès, Sénégal",CDD,2026-04-06,https://www.emploidakar.com/offre-demploi/top-management-24-thies-cdd-cdi-prestation-de-services-chauffeur-prive-familial-a-thies/,emploidakar,
Responsable Commercial.e & Partenariats (Part-time) – UBB,UBB - Ubuntu Business Builders,Sénégal (Télétravail),CDI,2026-04-06,https://www.emploidakar.com/offre-demploi/ubb-ubuntu-business-builders-remote-work-cdi-responsable-commercial-e-partenariats-part-time-ubb/,emploidakar,
Nounou et Chef Cuisinière Expérimentées,Guest House,"Rufisque, Dakar",CDD,2026-04-06,https://www.emploidakar.com/offre-demploi/guest-house-rufisque-cdd-nounou-et-chef-cuisiniere-experimentees/,emploidakar,
10 Business Developers,Groupe Taliso,"Dakar, Sénégal",CDD,2026-04-06,https://www.emploidakar.com/offre-demploi/groupe-taliso-dakar-cdd-prestation-de-services-stage-business-developer/,emploidakar,
Chauffeurs Taxi Particuliers,Urban Cars,"Parcelles Assainies, Dakar",Prestation de Services,2026-04-06,https://www.emploidakar.com/offre-demploi/urban-cars-dakar-parcelles-assainies-prestation-de-services-recrutement-chauffeurs-taxi-particuliers/,emploidakar,
Femme de Ménage Qualifiée,Sérénité Pro Service,"Dakar, Sénégal",Prestation de Services,2026-04-06,https://www.emploidakar.com/offre-demploi/serenite-pro-service-dakar-prestation-de-services-femme-de-menage-qualifiee/,emploidakar,
Gérante Cuisinière,Fast food à Thiès,"Thiès, Sénégal",Prestation de Services,2026-04-04,https://www.emploidakar.com/offre-demploi/fast-food-thies-prestation-de-services-gerante-cuisiniere/,emploidakar,
"Expert BTP, Spécialisé en Génie Maritime/Côtier",Société Internationale d'Ingénierie Conseil,"Dakar, Sénégal",CDD,2026-04-04,https://www.emploidakar.com/offre-demploi/societe-internationale-dingenierie-conseil-dakar-cdd-prestation-de-services-expert-btp-specialise-en-genie-maritime-cotier/,emploidakar,
Expert en Modélisation Numérique Appliquée au Milieu Marin Côtier,Société Internationale d'Ingénierie Conseil,Dakar,CDD,2026-04-03,https://www.emploidakar.com/offre-demploi/societe-internationale-dingenierie-conseil-dakar-cdd-prestation-de-services-expert-en-modelisation-numerique-appliquee-au-milieu-marin-cotier/,emploidakar,
Business Developer freelance — Apporteur d’affaires,Rise Your Business,"Dakar, Sénégal",Prestation de Services,2026-04-03,https://www.emploidakar.com/offre-demploi/rise-your-business-dakar-senegal-prestation-de-services-business-developer-freelance-apporteur-daffaires-agence-web-rise-your-business/,emploidakar,
Gestionnaire Site Web & Réseaux Sociaux,Autozen,"Hann Mariste 2, Dakar",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/autozen-hann-mariste-2-dakar-cdi-gestionnaire-site-web-reseaux-sociaux/,emploidakar,
Stagiaire Commerciale,Une entreprise de la place,"Liberte 6 Extention, Dakar",Stage,2026-04-03,https://www.emploidakar.com/offre-demploi/une-entreprise-de-la-place-liberte-6-extention-stage-offre-de-stage-stagiaire-commerciale/,emploidakar,
Conseillers Commerciaux (Free Télécom),Nabadji Group SARL,"Dieuppeul Derklé, Dakar",Prestation de Services,2026-04-03,https://www.emploidakar.com/offre-demploi/nabadji-sarl-%f0%9f%93%8d-dakar-dieuppeul-derkle-prestation-de-services-%f0%9f%93%a2-offre-demploi-conseiller-commercial-free-telecom/,emploidakar,
Superviseur Recrutement,Sunda International,"Sindia, Thiès, Sénégal",CDD,2026-04-03,https://www.emploidakar.com/offre-demploi/sunda-international-sindia-thies-senegal-cdd-superviseur-recrutement/,emploidakar,
Chargé de domaine de formation « Secteurs bancaire et financier »,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-charge-de-domaine-de-formation-secteurs-bancaire-et-financier/,emploidakar,
Opérateur de maintenance du patrimoine,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-operateur-de-maintenance-du-patrimoine/,emploidakar,
Chargé de la réglementation des systèmes et moyens de paiement,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-charge-de-la-reglementation-des-systemes-et-moyens-de-paiement/,emploidakar,
Gestionnaire des incidents et des demandes d’assistance,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-gestionnaire-des-incidents-et-des-demandes-dassistance/,emploidakar,
Gestionnaire d’opérations financières,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-gestionnaire-doperations-financieres/,emploidakar,
Chargé d’études en organisation,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-charge-detudes-en-organisation/,emploidakar,
Chargé des projets de communication,BCEAO,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/bceao-dakar-senegal-cdi-charge-des-projets-de-communication/,emploidakar,
"Senior Malaria Advisor, DOS LEAP Global – Senegal",Dexis,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/dexis-dakar-senegal-cdi-senior-malaria-advisor-dos-leap-global-senegal/,emploidakar,
Business Development Director – Senegal,VISA,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/visa-dakar-senegal-cdi-business-development-director-senegal/,emploidakar,
Responsable Spa,Club Med,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/club-med-dakar-senegal-cdi-responsable-spa/,emploidakar,
Chef(fe) de projet – Déploiement de Réseaux Electriques H/F,Sagemcom,"Dakar, Sénégal",CDI,2026-04-03,https://www.emploidakar.com/offre-demploi/sagemcom-dakar-senegal-cdi-cheffe-de-projet-deploiement-de-reseaux-electriques-h-f/,emploidakar,
GEF Projects Sub-Regional Coordinator,FAO,"Dakar, Sénégal",CDD,2026-04-03,https://www.emploidakar.com/offre-demploi/fao-dakar-senegal-cdd-gef-projects-sub-regional-coordinator/,emploidakar,
Ingénieur Projet,Sagemcom,"Dakar, Sénégal",CDD,2026-04-03,https://www.emploidakar.com/offre-demploi/sagemcom-dakar-senegal-cdd-cdi-ingenieur-projet/,emploidakar,
Restaurant Manager,Top Work,"Dakar, Sénégal",CDD,2026-04-02,https://www.emploidakar.com/offre-demploi/top-work-dakar-senegal-cdd-cdi-restaurant-manager/,emploidakar,
HR Associate,UN Women,"Dakar, Sénégal",CDD,2026-04-02,https://www.emploidakar.com/offre-demploi/un-women-dakar-senegal-cdd-hr-associate/,emploidakar,
Techniciennes de Surface,CLEANIC,"Dakar, Sénégal",Prestation de Services,2026-04-02,https://www.emploidakar.com/offre-demploi/cleanic-dakar-prestation-de-services-technicienne-de-surface-2/,emploidakar,
Téléconseiller en prise de RDV B2B,Vocalis Africa International,"Dakar, Sénégal",Prestation de Services,2026-04-02,https://www.emploidakar.com/offre-demploi/vocalis-africa-international-senegal-prestation-de-services-teleconseiller-en-prise-de-rdv-b2b/,emploidakar,
Community Manager,Groupe Téranga Communication,"Keur Massar, Dakar",Stage,2026-04-01,https://www.emploidakar.com/offre-demploi/groupe-teranga-communication-keur-massar-stage-community-manager/,emploidakar,
Formation Tech Academy et Recrutement JOJ2026,Jeux Olympiques de la Jeunesse Dakar 2026,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/jeux-olympiques-de-la-jeunesse-dakar-2026-dakar-senegal-cdd-cdi-formation-gratuite-et-recrutement-dans-la-tech/,emploidakar,
Chauffeur,Urban Cars,"Dakar, Sénégal",Prestation de Services,2026-04-01,https://www.emploidakar.com/offre-demploi/urban-cars-sn-sas-dakar-prestation-de-services-recrutement-de-chauffeur/,emploidakar,
Agent de Sécurité,LIS Security,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/lis-security-dakar-cdd-stage-agent-de-securite/,emploidakar,
Acheteur,Top Work,"Kédougou, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/top-work-kedougou-senegal-cdd-acheteur/,emploidakar,
Chargé de Pilotage & Performance,GPF,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdd-charge-de-pilotage-performance/,emploidakar,
Responsable de Zone,Top Work,"Thiès, Mbour",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/top-work-thies-mbour-cdd-cdi-responsable-de-zone/,emploidakar,
Directeur (trice) artistique,Les Barbus SN,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/les-barbus-sn-dakar-cdd-cdi-prestation-de-services-directeur-trice-artistique/,emploidakar,
Chef de publicité,Les Barbus SN,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/les-barbus-sn-dakar-cdd-cdi-prestation-de-services-chef-de-publicite/,emploidakar,
Content Manager,Les Barbus,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/les-barbus-dakar-cdd-cdi-content-manager/,emploidakar,
Pompiste,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-pompiste/,emploidakar,
Technicien de baie,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-technicien-de-baie/,emploidakar,
Rayonniste,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-rayonniste/,emploidakar,
Caissier,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-caissier/,emploidakar,
Laveur,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-laveur/,emploidakar,
Chef de piste,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-chef-de-piste/,emploidakar,
Gérant de boutique,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-gerant-de-boutique/,emploidakar,
Gérant de station,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-gerant-de-station/,emploidakar,
Manufacturing Team Leader,Philip Morris International,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/philip-morris-international-dakar-senegal-cdd-manufacturing-team-leader/,emploidakar,
Assistant RH,Ascoma Assureurs Conseils,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/ascoma-assureurs-conseils-dakar-senegal-cdd-assistant-rh-assistante-rh/,emploidakar,
Répartiteur Taxi Parc,Yango,"Dakar, Sénégal",Stage,2026-04-01,https://www.emploidakar.com/offre-demploi/yango-leopold-cedar-stade-stage-repartiteur-taxi-parc/,emploidakar,
Télévendeurs en conquête mobile/marché français,SHY Performance Sénégal,"Mermoz Ancienne Piste, Dakar,",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/shy-performance-senegal-mermoz-ancienne-piste-dakar-cdd-televendeurs-en-conquete-mobile-marche-francais/,emploidakar,
